datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-10-23 22:40:00,110083.5,110083.5,109964.98,110005.61,42.82753,2025-10-23 22:44:59.999,4711404.3337521,5577,7.408,814888.8461144,0
2025-10-23 22:45:00,110005.62,110050.91,109873.0,109901.13,42.45849,2025-10-23 22:49:59.999,4669279.9875314,5340,8.07261,887788.1633508,0
2025-10-23 22:50:00,109901.13,110008.0,109901.12,109955.21,17.85984,2025-10-23 22:54:59.999,1963943.6094798,4418,11.53937,1268867.7750918,0
2025-10-23 22:55:00,109955.22,109985.44,109938.21,109943.94,20.43984,2025-10-23 22:59:59.999,2247360.7117777,4138,10.84077,1191860.0160361,0
2025-10-23 23:00:00,109943.95,109943.95,109873.01,109891.59,14.76827,2025-10-23 23:04:59.999,1623111.0127506,3362,1.86479,204939.6024962,0
2025-10-23 23:05:00,109891.59,109891.59,109839.0,109855.86,11.98612,2025-10-23 23:09:59.999,1316750.2704598,3594,1.57408,172910.6839035,0
2025-10-23 23:10:00,109855.87,110020.3,109855.86,110020.29,10.0548,2025-10-23 23:14:59.999,1105359.53056,5526,6.90539,759123.9615029,0
2025-10-23 23:15:00,110020.3,110046.96,109980.0,109981.55,22.00979,2025-10-23 23:19:59.999,2421421.3351912,4327,8.40326,924482.2696513,0
2025-10-23 23:20:00,109981.54,110099.17,109981.54,110073.4,27.17599,2025-10-23 23:24:59.999,2990477.675223,5526,21.29574,2343477.0876329,0
2025-10-23 23:25:00,110073.4,110091.24,110004.5,110068.55,31.51388,2025-10-23 23:29:59.999,3467959.7330265,5583,9.53004,1048733.5144165,0
2025-10-23 23:30:00,110068.55,110068.55,109972.5,109972.5,21.11449,2025-10-23 23:34:59.999,2322799.374031,5003,5.90579,649572.6479164,0
2025-10-23 23:35:00,109972.51,110020.53,109970.0,110001.62,20.53263,2025-10-23 23:39:59.999,2258323.424838,4526,12.79995,1407694.8082351,0
2025-10-23 23:40:00,110001.62,110082.87,110001.62,110066.58,24.25978,2025-10-23 23:44:59.999,2669810.3415539,5605,10.46645,1151795.7090755,0
2025-10-23 23:45:00,110066.57,110077.13,109983.63,109992.57,35.34816,2025-10-23 23:49:59.999,3889958.813752,5309,13.68837,1506552.5380557,0
2025-10-23 23:50:00,109992.37,110030.24,109970.74,110030.23,16.34525,2025-10-23 23:54:59.999,1797800.2498725,3774,6.70364,737307.816099,0
2025-10-23 23:55:00,110030.23,110078.19,109971.84,110078.18,24.26622,2025-10-23 23:59:59.999,2669928.6729153,4693,11.83691,1302277.8793304,0
2025-10-24 00:00:00,110078.19,110158.37,109983.93,110093.06,52.90832,2025-10-24 00:04:59.999,5824594.9004922,11779,23.37297,2572975.3057333,0
2025-10-24 00:05:00,110093.07,110099.93,110001.62,110079.99,22.89784,2025-10-24 00:09:59.999,2520004.989811,8850,11.48475,1263898.2671599,0
2025-10-24 00:10:00,110080.0,110286.88,110055.2,110219.75,54.09301,2025-10-24 00:14:59.999,5961007.7548906,15548,32.50147,3581517.9195245,0
2025-10-24 00:15:00,110219.75,110419.69,110175.16,110403.58,37.32184,2025-10-24 00:19:59.999,4115643.3176517,15421,29.01495,3199754.3279758,0
2025-10-24 00:20:00,110403.58,110436.96,110228.69,110304.01,51.4919,2025-10-24 00:24:59.999,5681147.9164368,16568,24.77643,2733526.4178316,0
2025-10-24 00:25:00,110304.02,110312.4,110150.01,110162.53,32.75314,2025-10-24 00:29:59.999,3610080.3667773,7672,13.58209,1496708.1679194,0
2025-10-24 00:30:00,110162.53,110332.44,110130.41,110332.43,41.1066,2025-10-24 00:34:59.999,4531556.2515475,13039,27.16546,2994858.0898893,0
2025-10-24 00:35:00,110332.44,110354.0,110273.62,110325.89,29.33578,2025-10-24 00:39:59.999,3236258.8205265,9107,15.5512,1715497.5737115,0
2025-10-24 00:40:00,110325.89,110512.74,110325.89,110383.65,71.7124,2025-10-24 00:44:59.999,7918585.1607433,13332,48.4389,5348357.9807422,0
2025-10-24 00:45:00,110383.65,110518.56,110383.65,110497.97,23.6686,2025-10-24 00:49:59.999,2614649.0427473,9164,14.03953,1550789.6236116,0
2025-10-24 00:50:00,110497.96,110709.22,110497.96,110566.18,85.33617,2025-10-24 00:54:59.999,9438880.161411,20216,56.41291,6239077.6215955,0
2025-10-24 00:55:00,110566.18,110583.07,110483.71,110500.28,28.45052,2025-10-24 00:59:59.999,3144396.1614886,8987,9.87996,1091794.2474354,0
2025-10-24 01:00:00,110500.29,110626.83,110481.35,110626.83,30.97756,2025-10-24 01:04:59.999,3424182.6885551,9256,19.48069,2153349.0300522,0
2025-10-24 01:05:00,110626.82,110665.53,110539.95,110548.54,43.42478,2025-10-24 01:09:59.999,4803632.2449456,10289,30.7178,3398028.1391327,0
2025-10-24 01:10:00,110548.54,110564.15,110500.28,110500.29,23.34142,2025-10-24 01:14:59.999,2579983.404744,7724,6.83462,755420.5422957,0
2025-10-24 01:15:00,110500.28,110500.29,110386.95,110440.09,30.32023,2025-10-24 01:19:59.999,3349132.911124,13510,10.97309,1211823.1111904,0
2025-10-24 01:20:00,110440.09,110460.0,110320.68,110321.14,22.23849,2025-10-24 01:24:59.999,2454788.4455537,6673,7.1792,792583.8363253,0
2025-10-24 01:25:00,110321.15,110352.0,110141.38,110242.36,58.60016,2025-10-24 01:29:59.999,6460290.3720787,12574,23.09345,2545027.2034612,0
2025-10-24 01:30:00,110242.37,110341.05,110242.35,110273.63,14.52441,2025-10-24 01:34:59.999,1601869.4294345,10890,6.66024,734506.2017852,0
2025-10-24 01:35:00,110273.63,110317.42,110206.41,110317.41,27.13556,2025-10-24 01:39:59.999,2991944.0957708,7643,11.43441,1260644.56783,0
2025-10-24 01:40:00,110317.42,110407.7,110317.42,110407.69,15.04124,2025-10-24 01:44:59.999,1660266.0116822,7028,6.61328,729928.2280556,0
2025-10-24 01:45:00,110407.7,110657.03,110407.69,110547.35,61.50178,2025-10-24 01:49:59.999,6798162.2359715,13776,48.36656,5345367.3866195,0
2025-10-24 01:50:00,110547.35,110628.26,110544.45,110544.46,29.36554,2025-10-24 01:54:59.999,3247096.9042094,8245,9.64831,1066995.8717158,0
2025-10-24 01:55:00,110544.45,110600.0,110544.45,110585.08,15.52873,2025-10-24 01:59:59.999,1716918.9420672,5784,7.75373,857280.7681585,0
2025-10-24 02:00:00,110585.09,110599.99,110432.29,110440.18,49.40955,2025-10-24 02:04:59.999,5460292.7238193,9400,11.19061,1236680.5284746,0
2025-10-24 02:05:00,110440.17,110465.2,110407.0,110431.4,16.22173,2025-10-24 02:09:59.999,1791557.4629929,7024,7.17129,791967.8811021,0
2025-10-24 02:10:00,110431.4,110455.2,110406.06,110450.1,7.43774,2025-10-24 02:14:59.999,821403.9411884,2978,3.61002,398689.1468629,0
2025-10-24 02:15:00,110450.1,110560.55,110417.45,110422.81,25.79469,2025-10-24 02:19:59.999,2850286.6683814,8475,15.74281,1739371.8696024,0
2025-10-24 02:20:00,110422.81,110444.89,110358.34,110358.37,20.84583,2025-10-24 02:24:59.999,2301410.6299024,6089,5.16819,570467.4135381,0
2025-10-24 02:25:00,110358.37,110454.39,110358.36,110431.64,25.65035,2025-10-24 02:29:59.999,2832158.1791622,5515,16.57777,1830242.6278819,0
2025-10-24 02:30:00,110431.65,110498.98,110392.94,110445.49,30.49647,2025-10-24 02:34:59.999,3368278.0073936,7153,16.46422,1818249.1601026,0
2025-10-24 02:35:00,110445.49,110538.36,110406.31,110406.31,13.44448,2025-10-24 02:39:59.999,1485427.6510229,7671,6.48462,716454.701048,0
2025-10-24 02:40:00,110406.31,110686.05,110406.31,110686.05,31.34981,2025-10-24 02:44:59.999,3466595.3693984,9705,24.67926,2729484.2618735,0
2025-10-24 02:45:00,110686.04,110700.0,110613.61,110632.21,11.93836,2025-10-24 02:49:59.999,1321090.4405458,6809,7.32846,810970.6400089,0
2025-10-24 02:50:00,110632.22,110736.72,110632.21,110736.71,30.74479,2025-10-24 02:54:59.999,3402589.2776167,6222,24.97727,2764201.9775103,0
2025-10-24 02:55:00,110736.71,110829.67,110570.12,110570.12,40.35835,2025-10-24 02:59:59.999,4469202.0538474,13025,18.38526,2036099.5033464,0
2025-10-24 03:00:00,110570.13,110630.81,110472.25,110473.04,39.9886,2025-10-24 03:04:59.999,4420080.5383462,8133,15.54525,1718144.0196578,0
2025-10-24 03:05:00,110473.05,110473.05,110440.05,110472.17,12.22517,2025-10-24 03:09:59.999,1350431.9100749,3270,5.30676,586169.3613302,0
2025-10-24 03:10:00,110472.17,110535.06,110453.96,110491.47,13.56334,2025-10-24 03:14:59.999,1498632.9318671,5788,7.50515,829173.3968933,0
2025-10-24 03:15:00,110491.47,110536.01,110469.3,110500.64,10.50376,2025-10-24 03:19:59.999,1160624.5466264,4202,2.58273,285362.9608818,0
2025-10-24 03:20:00,110500.63,110554.84,110500.63,110530.01,16.96207,2025-10-24 03:24:59.999,1874979.6445384,4832,8.85549,978869.3946774,0
2025-10-24 03:25:00,110530.0,110530.01,110460.5,110467.88,14.76967,2025-10-24 03:29:59.999,1631947.2317461,4104,4.25141,469738.0270433,0
2025-10-24 03:30:00,110467.89,110467.89,110324.62,110324.63,73.1414,2025-10-24 03:34:59.999,8074508.5685021,8557,16.87609,1863045.6892722,0
2025-10-24 03:35:00,110324.63,110389.86,110274.85,110357.0,18.80915,2025-10-24 03:39:59.999,2075233.9255203,7594,6.7816,748229.1335708,0
2025-10-24 03:40:00,110357.01,110493.85,110357.01,110424.37,41.99807,2025-10-24 03:44:59.999,4637980.0984093,7468,19.38789,2140841.4778278,0
2025-10-24 03:45:00,110424.36,110424.36,110328.0,110328.0,34.63048,2025-10-24 03:49:59.999,3821962.9020696,8731,9.64154,1064127.1175877,0
